"order_id","customer_id","employee_id","order_date","ship_city"
10248,"VINET",5,"1996-07-04","Reims"
10249,"TOMSP",6,"1996-07-05","Münster"
10250,"HANAR",4,"1996-07-08","Rio de Janeiro"
10251,"VICTE",3,"1996-07-08","Lyon"
10252,"SUPRD",4,"1996-07-09","Charleroi"
10253,"HANAR",3,"1996-07-10","Rio de Janeiro"
10254,"CHOPS",5,"1996-07-11","Bern"
10255,"RICSU",9,"1996-07-12","Genève"
10256,"WELLI",3,"1996-07-15","Resende"
10257,"HILAA",4,"1996-07-16","San Cristóbal"
10258,"ERNSH",1,"1996-07-17","Graz"
10259,"CENTC",4,"1996-07-18","México D.F."
10260,"OTTIK",4,"1996-07-19","Köln"
10261,"QUEDE",4,"1996-07-19","Rio de Janeiro"
10262,"RATTC",8,"1996-07-22","Albuquerque"
10263,"ERNSH",9,"1996-07-23","Graz"
10264,"FOLKO",6,"1996-07-24","Bräcke"
10265,"BLONP",2,"1996-07-25","Strasbourg"
10266,"WARTH",3,"1996-07-26","Oulu"
10267,"FRANK",4,"1996-07-29","München"
10268,"GROSR",8,"1996-07-30","Caracas"
10269,"WHITC",5,"1996-07-31","Seattle"
10270,"WARTH",1,"1996-08-01","Oulu"
10271,"SPLIR",6,"1996-08-01","Lander"
10272,"RATTC",6,"1996-08-02","Albuquerque"
10273,"QUICK",3,"1996-08-05","Cunewalde"
10274,"VINET",6,"1996-08-06","Reims"
10275,"MAGAA",1,"1996-08-07","Bergamo"
10276,"TORTU",8,"1996-08-08","México D.F."
10277,"MORGK",2,"1996-08-09","Leipzig"
10278,"BERGS",8,"1996-08-12","Luleå"
10279,"LEHMS",8,"1996-08-13","Frankfurt a.M."
10280,"BERGS",2,"1996-08-14","Luleå"
10281,"ROMEY",4,"1996-08-14","Madrid"
10282,"ROMEY",4,"1996-08-15","Madrid"
10283,"LILAS",3,"1996-08-16","Barquisimeto"
10284,"LEHMS",4,"1996-08-19","Frankfurt a.M."
10285,"QUICK",1,"1996-08-20","Cunewalde"
10286,"QUICK",8,"1996-08-21","Cunewalde"
10287,"RICAR",8,"1996-08-22","Rio de Janeiro"
10288,"REGGC",4,"1996-08-23","Reggio Emilia"
10289,"BSBEV",7,"1996-08-26","London"
10290,"COMMI",8,"1996-08-27","Sao Paulo"
10291,"QUEDE",6,"1996-08-27","Rio de Janeiro"
10292,"TRADH",1,"1996-08-28","Sao Paulo"
10293,"TORTU",1,"1996-08-29","México D.F."
10294,"RATTC",4,"1996-08-30","Albuquerque"
10295,"VINET",2,"1996-09-02","Reims"
10296,"LILAS",6,"1996-09-03","Barquisimeto"
10297,"BLONP",5,"1996-09-04","Strasbourg"
10298,"HUNGO",6,"1996-09-05","Cork"
10299,"RICAR",4,"1996-09-06","Rio de Janeiro"
10300,"MAGAA",2,"1996-09-09","Bergamo"
10301,"WANDK",8,"1996-09-09","Stuttgart"
10302,"SUPRD",4,"1996-09-10","Charleroi"
10303,"GODOS",7,"1996-09-11","Sevilla"
10304,"TORTU",1,"1996-09-12","México D.F."
10305,"OLDWO",8,"1996-09-13","Anchorage"
10306,"ROMEY",1,"1996-09-16","Madrid"
10307,"LONEP",2,"1996-09-17","Portland"
10308,"ANATR",7,"1996-09-18","México D.F."
10309,"HUNGO",3,"1996-09-19","Cork"
10310,"THEBI",8,"1996-09-20","Portland"
10311,"DUMON",1,"1996-09-20","Nantes"
10312,"WANDK",2,"1996-09-23","Stuttgart"
10313,"QUICK",2,"1996-09-24","Cunewalde"
10314,"RATTC",1,"1996-09-25","Albuquerque"
10315,"ISLAT",4,"1996-09-26","Cowes"
10316,"RATTC",1,"1996-09-27","Albuquerque"
10317,"LONEP",6,"1996-09-30","Portland"
10318,"ISLAT",8,"1996-10-01","Cowes"
10319,"TORTU",7,"1996-10-02","México D.F."
10320,"WARTH",5,"1996-10-03","Oulu"
10321,"ISLAT",3,"1996-10-03","Cowes"
10322,"PERIC",7,"1996-10-04","México D.F."
10323,"KOENE",4,"1996-10-07","Brandenburg"
10324,"SAVEA",9,"1996-10-08","Boise"
10325,"KOENE",1,"1996-10-09","Brandenburg"
10326,"BOLID",4,"1996-10-10","Madrid"
10327,"FOLKO",2,"1996-10-11","Bräcke"
10328,"FURIB",4,"1996-10-14","Lisboa"
10329,"SPLIR",4,"1996-10-15","Lander"
10330,"LILAS",3,"1996-10-16","Barquisimeto"
10331,"BONAP",9,"1996-10-16","Marseille"
10332,"MEREP",3,"1996-10-17","Montréal"
10333,"WARTH",5,"1996-10-18","Oulu"
10334,"VICTE",8,"1996-10-21","Lyon"
10335,"HUNGO",7,"1996-10-22","Cork"
10336,"PRINI",7,"1996-10-23","Lisboa"
10337,"FRANK",4,"1996-10-24","München"
10338,"OLDWO",4,"1996-10-25","Anchorage"
10339,"MEREP",2,"1996-10-28","Montréal"
10340,"BONAP",1,"1996-10-29","Marseille"
10341,"SIMOB",7,"1996-10-29","Kobenhavn"
10342,"FRANK",4,"1996-10-30","München"
10343,"LEHMS",4,"1996-10-31","Frankfurt a.M."
10344,"WHITC",4,"1996-11-01","Seattle"
10345,"QUICK",2,"1996-11-04","Cunewalde"
10346,"RATTC",3,"1996-11-05","Albuquerque"
10347,"FAMIA",4,"1996-11-06","Sao Paulo"
10348,"WANDK",4,"1996-11-07","Stuttgart"
10349,"SPLIR",7,"1996-11-08","Lander"
10350,"LAMAI",6,"1996-11-11","Toulouse"
10351,"ERNSH",1,"1996-11-11","Graz"
10352,"FURIB",3,"1996-11-12","Lisboa"
10353,"PICCO",7,"1996-11-13","Salzburg"
10354,"PERIC",8,"1996-11-14","México D.F."
10355,"AROUT",6,"1996-11-15","Colchester"
10356,"WANDK",6,"1996-11-18","Stuttgart"
10357,"LILAS",1,"1996-11-19","Barquisimeto"
10358,"LAMAI",5,"1996-11-20","Toulouse"
10359,"SEVES",5,"1996-11-21","London"
10360,"BLONP",4,"1996-11-22","Strasbourg"
10361,"QUICK",1,"1996-11-22","Cunewalde"
10362,"BONAP",3,"1996-11-25","Marseille"
10363,"DRACD",4,"1996-11-26","Aachen"
10364,"EASTC",1,"1996-11-26","London"
10365,"ANTON",3,"1996-11-27","México D.F."
10366,"GALED",8,"1996-11-28","Barcelona"
10367,"VAFFE",7,"1996-11-28","Århus"
10368,"ERNSH",2,"1996-11-29","Graz"
10369,"SPLIR",8,"1996-12-02","Lander"
10370,"CHOPS",6,"1996-12-03","Bern"
10371,"LAMAI",1,"1996-12-03","Toulouse"
10372,"QUEEN",5,"1996-12-04","Sao Paulo"
10373,"HUNGO",4,"1996-12-05","Cork"
10374,"WOLZA",1,"1996-12-05","Warszawa"
10375,"HUNGC",3,"1996-12-06","Elgin"
10376,"MEREP",1,"1996-12-09","Montréal"
10377,"SEVES",1,"1996-12-09","London"
10378,"FOLKO",5,"1996-12-10","Bräcke"
10379,"QUEDE",2,"1996-12-11","Rio de Janeiro"
10380,"HUNGO",8,"1996-12-12","Cork"
10381,"LILAS",3,"1996-12-12","Barquisimeto"
10382,"ERNSH",4,"1996-12-13","Graz"
10383,"AROUT",8,"1996-12-16","Colchester"
10384,"BERGS",3,"1996-12-16","Luleå"
10385,"SPLIR",1,"1996-12-17","Lander"
10386,"FAMIA",9,"1996-12-18","Sao Paulo"
10387,"SANTG",1,"1996-12-18","Stavern"
10388,"SEVES",2,"1996-12-19","London"
10389,"BOTTM",4,"1996-12-20","Tsawassen"
10390,"ERNSH",6,"1996-12-23","Graz"
10391,"DRACD",3,"1996-12-23","Aachen"
10392,"PICCO",2,"1996-12-24","Salzburg"
10393,"SAVEA",1,"1996-12-25","Boise"
10394,"HUNGC",1,"1996-12-25","Elgin"
10395,"HILAA",6,"1996-12-26","San Cristóbal"
10396,"FRANK",1,"1996-12-27","München"
10397,"PRINI",5,"1996-12-27","Lisboa"
10398,"SAVEA",2,"1996-12-30","Boise"
10399,"VAFFE",8,"1996-12-31","Århus"
10400,"EASTC",1,"1997-01-01","London"
10401,"RATTC",1,"1997-01-01","Albuquerque"
10402,"ERNSH",8,"1997-01-02","Graz"
10403,"ERNSH",4,"1997-01-03","Graz"
10404,"MAGAA",2,"1997-01-03","Bergamo"
10405,"LINOD",1,"1997-01-06","I. de Margarita"
10406,"QUEEN",7,"1997-01-07","Sao Paulo"
10407,"OTTIK",2,"1997-01-07","Köln"
10408,"FOLIG",8,"1997-01-08","Lille"
10409,"OCEAN",3,"1997-01-09","Buenos Aires"
10410,"BOTTM",3,"1997-01-10","Tsawassen"
10411,"BOTTM",9,"1997-01-10","Tsawassen"
10412,"WARTH",8,"1997-01-13","Oulu"
10413,"LAMAI",3,"1997-01-14","Toulouse"
10414,"FAMIA",2,"1997-01-14","Sao Paulo"
10415,"HUNGC",3,"1997-01-15","Elgin"
10416,"WARTH",8,"1997-01-16","Oulu"
10417,"SIMOB",4,"1997-01-16","Kobenhavn"
10418,"QUICK",4,"1997-01-17","Cunewalde"
10419,"RICSU",4,"1997-01-20","Genève"
10420,"WELLI",3,"1997-01-21","Resende"
10421,"QUEDE",8,"1997-01-21","Rio de Janeiro"
10422,"FRANS",2,"1997-01-22","Torino"
10423,"GOURL",6,"1997-01-23","Campinas"
10424,"MEREP",7,"1997-01-23","Montréal"
10425,"LAMAI",6,"1997-01-24","Toulouse"
10426,"GALED",4,"1997-01-27","Barcelona"
10427,"PICCO",4,"1997-01-27","Salzburg"
10428,"REGGC",7,"1997-01-28","Reggio Emilia"
10429,"HUNGO",3,"1997-01-29","Cork"
10430,"ERNSH",4,"1997-01-30","Graz"
10431,"BOTTM",4,"1997-01-30","Tsawassen"
10432,"SPLIR",3,"1997-01-31","Lander"
10433,"PRINI",3,"1997-02-03","Lisboa"
10434,"FOLKO",3,"1997-02-03","Bräcke"
10435,"CONSH",8,"1997-02-04","London"
10436,"BLONP",3,"1997-02-05","Strasbourg"
10437,"WARTH",8,"1997-02-05","Oulu"
10438,"TOMSP",3,"1997-02-06","Münster"
10439,"MEREP",6,"1997-02-07","Montréal"
10440,"SAVEA",4,"1997-02-10","Boise"
10441,"OLDWO",3,"1997-02-10","Anchorage"
10442,"ERNSH",3,"1997-02-11","Graz"
10443,"REGGC",8,"1997-02-12","Reggio Emilia"
10444,"BERGS",3,"1997-02-12","Luleå"
10445,"BERGS",3,"1997-02-13","Luleå"
10446,"TOMSP",6,"1997-02-14","Münster"
10447,"RICAR",4,"1997-02-14","Rio de Janeiro"
10448,"RANCH",4,"1997-02-17","Buenos Aires"
10449,"BLONP",3,"1997-02-18","Strasbourg"
10450,"VICTE",8,"1997-02-19","Lyon"
10451,"QUICK",4,"1997-02-19","Cunewalde"
10452,"SAVEA",8,"1997-02-20","Boise"
10453,"AROUT",1,"1997-02-21","Colchester"
10454,"LAMAI",4,"1997-02-21","Toulouse"
10455,"WARTH",8,"1997-02-24","Oulu"
10456,"KOENE",8,"1997-02-25","Brandenburg"
10457,"KOENE",2,"1997-02-25","Brandenburg"
10458,"SUPRD",7,"1997-02-26","Charleroi"
10459,"VICTE",4,"1997-02-27","Lyon"
10460,"FOLKO",8,"1997-02-28","Bräcke"
10461,"LILAS",1,"1997-02-28","Barquisimeto"
10462,"CONSH",2,"1997-03-03","London"
10463,"SUPRD",5,"1997-03-04","Charleroi"
10464,"FURIB",4,"1997-03-04","Lisboa"
10465,"VAFFE",1,"1997-03-05","Århus"
10466,"COMMI",4,"1997-03-06","Sao Paulo"
10467,"MAGAA",8,"1997-03-06","Bergamo"
10468,"KOENE",3,"1997-03-07","Brandenburg"
10469,"WHITC",1,"1997-03-10","Seattle"
10470,"BONAP",4,"1997-03-11","Marseille"
10471,"BSBEV",2,"1997-03-11","London"
10472,"SEVES",8,"1997-03-12","London"
10473,"ISLAT",1,"1997-03-13","Cowes"
10474,"PERIC",5,"1997-03-13","México D.F."
10475,"SUPRD",9,"1997-03-14","Charleroi"
10476,"HILAA",8,"1997-03-17","San Cristóbal"
10477,"PRINI",5,"1997-03-17","Lisboa"
10478,"VICTE",2,"1997-03-18","Lyon"
10479,"RATTC",3,"1997-03-19","Albuquerque"
10480,"FOLIG",6,"1997-03-20","Lille"
10481,"RICAR",8,"1997-03-20","Rio de Janeiro"
10482,"LAZYK",1,"1997-03-21","Walla Walla"
10483,"WHITC",7,"1997-03-24","Seattle"
